"Gene","Analysis.ID","Relatedness","adjusted_expression"
"Irgc","F2Fm_Rep2","50",-0.0254826078969247
"Irgc","F2Fm_Rep3","50",-0.0254826078969247
"Irgc","F2Fm_Rep4","50",0.0329094832960594
"Irgc","F2Fm_Rep5","50",-0.0254826078969247
"Irgc","F2Fm_Rep6","50",-0.0254826078969247
"Irgc","F2Fm_Rep7","50",0.0236959455621382
"Irgc","F2Fm_Rep8","50",0.0338302092169552
"Irgc","F2Mc_Rep1","50",0.105577813397064
"Irgc","F2Mc_Rep2","50",0.0254826078969247
"Irgc","F2Mc_Rep3","50",0.0254826078969247
"Irgc","F2Mc_Rep4","50",0.0254826078969247
"Irgc","F2Mc_Rep5","50",0.0254826078969247
"Irgc","F2Mc_Rep6","50",0.0254826078969247
"Irgc","F2Mc_Rep7","50",0.0254826078969247
"Irgc","F2Mc_Rep8","50",0.0907882403739839
"Irgc","F2Mm_Rep1","50",0.0255348690463168
"Irgc","F2Mm_Rep2","50",0.0255348690463168
"Irgc","F2Mm_Rep4","50",0.0255348690463168
"Irgc","F2Mm_Rep5","50",0.0255348690463168
"Irgc","F2Mm_Rep6","50",0.0255348690463168
"Irgc","F2Mm_Rep7","50",0.0255348690463168
"Irgc","F2Mm_Rep8","50",0.0255348690463168
"Eid2","F1Fc_Rep1","0",60.5103545062321
"Eid2","F1Fc_Rep2","0",73.6886179488914
"Eid2","F1Fc_Rep3","0",77.7699648870479
"Eid2","F1Fc_Rep4","0",82.057703054648
"Eid2","F1Fc_Rep5","0",74.0664571905306
"Eid2","F1Fc_Rep6","0",77.9490323686431
"Eid2","F1Fc_Rep7","0",69.3029731961023
"Eid2","F1Fc_Rep8","0",78.5871382699064
"Eid2","F1Fm_Rep1","0",72.1386552314998
"Eid2","F1Fm_Rep2","0",79.2142350248864
"Eid2","F1Fm_Rep3","0",73.7299318864485
"Eid2","F1Fm_Rep4","0",89.2712083023769
"Eid2","F1Fm_Rep5","0",72.7091923530612
"Eid2","F1Fm_Rep6","0",78.8919989012389
"Eid2","F1Fm_Rep7","0",73.479272962572
"Eid2","F1Fm_Rep8","0",77.2987231500165
"Eid2","F1Mc_Rep1","0",71.8718827157942
"Eid2","F1Mc_Rep2","0",70.407371056313
"Eid2","F1Mc_Rep3","0",75.2714304560863
"Eid2","F1Mc_Rep4","0",76.427701103844
"Eid2","F1Mc_Rep5","0",69.9438533684682
"Eid2","F1Mc_Rep6","0",87.4632492151819
"Eid2","F1Mc_Rep7","0",83.9086498276615
"Eid2","F1Mc_Rep8","0",75.09101387265
"Eid2","F1Mm_Rep1","0",79.1329588245381
"Eid2","F1Mm_Rep2","0",72.6102016252508
"Eid2","F1Mm_Rep3","0",74.7621747538139
"Eid2","F1Mm_Rep4","0",76.0381695768529
"Eid2","F1Mm_Rep5","0",72.1474978545069
"Eid2","F1Mm_Rep6","0",80.1865610628068
"Eid2","F1Mm_Rep7","0",84.1074673912069
